,MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
0,4/1/2023,NSP.NWELOAD,Loadzone,LMP,18.6,16.18,14.74,14.25,17.68,20.44,22.08,22.8,23.29,24.38,22.64,21.38,20.16,20.63,22.15,21.55,23.76,23.92,27.91,28.66,28.52,24.36,21.74,18.85
1,4/1/2023,NSP.NWELOAD,Loadzone,MCC,3.22,2.67,1.99,1.73,4.34,5.61,4.43,4.4,3.75,3.41,1.11,-0.83,-2.77,-3.8,-4.51,-4.3,-4.52,-3.59,-3.12,-4.02,-2.77,-1.3,-0.23,-1.3
2,4/1/2023,NSP.NWELOAD,Loadzone,MLC,-0.37,-0.26,-0.24,-0.23,-0.47,-0.51,-0.46,-0.47,-0.57,-0.77,-0.81,-0.85,-1.27,-0.93,0.15,-1.34,0.21,-1.1,1.18,-0.81,1.2,0.85,-0.12,-1.13
3,4/2/2023,NSP.NWELOAD,Loadzone,LMP,18.69,17.29,16.79,17.23,18.97,18.6,16.79,17.6,17.37,17.73,16.88,16.1,15.3,13.39,14.19,15.01,17.49,20.34,25.87,27.81,26.12,22.59,21.94,20.46
4,4/2/2023,NSP.NWELOAD,Loadzone,MCC,0.58,-1.89,-2.54,-1.74,-0.41,-1.33,-2.84,-2.17,-2.29,-1.33,-1.48,-2.38,-2.74,-4.82,-4.75,-4.27,-3.43,-2.24,0.8,0.31,0.58,0.28,1.16,0.89
5,4/2/2023,NSP.NWELOAD,Loadzone,MLC,-1.39,0.61,0.1,0.1,0.09,0.03,-0.67,-0.3,-0.52,-0.54,-0.37,-0.38,-0.45,-0.46,-0.49,-0.5,-0.54,-0.57,-0.54,-0.99,-0.93,-0.47,-0.22,-0.49
6,4/3/2023,NSP.NWELOAD,Loadzone,LMP,18.09,17.71,18.43,19.57,20.83,24.32,34.14,37.4,35.88,37.19,35.29,33.06,30.86,30.43,28.27,27.4,26.82,27.95,29.51,32.17,28.73,26.04,25.56,21.98
7,4/3/2023,NSP.NWELOAD,Loadzone,MCC,-1.41,-1.28,-1.33,-1.33,-1.25,-2.05,-2.52,-0.01,1.28,1.17,1.15,0.82,-0.13,-1.52,-3.0,-3.75,-3.21,-3.13,-2.26,-0.93,-0.7,1.31,1.64,1.2
8,4/3/2023,NSP.NWELOAD,Loadzone,MLC,0.53,0.52,0.54,0.66,-1.01,-0.68,1.49,3.03,1.34,1.39,0.68,0.51,-0.19,0.95,0.62,0.32,0.31,0.32,0.83,0.5,0.22,-0.13,1.44,0.61
9,4/4/2023,NSP.NWELOAD,Loadzone,LMP,20.62,19.05,19.22,20.25,24.37,27.94,34.35,33.71,29.36,24.21,24.44,23.56,21.85,20.75,20.54,20.26,20.45,20.63,21.88,22.85,21.46,19.92,16.21,14.79
10,4/4/2023,NSP.NWELOAD,Loadzone,MCC,2.06,2.03,2.51,3.34,5.9,4.87,7.51,7.66,5.45,-0.07,-0.84,-2.04,-5.05,-7.22,-7.44,-8.04,-8.2,-7.89,-4.12,-2.96,-2.68,-1.85,-1.45,-1.78
11,4/4/2023,NSP.NWELOAD,Loadzone,MLC,0.59,0.47,0.53,0.46,0.02,-0.42,-0.71,-0.4,-1.02,-0.47,-0.49,-0.76,-1.01,-1.16,-1.17,-1.19,-1.22,-1.21,-1.1,-1.08,-0.92,-0.53,-0.97,-0.96
12,4/5/2023,NSP.NWELOAD,Loadzone,LMP,17.5,15.17,15.61,15.49,17.34,22.12,29.98,34.01,33.98,30.33,27.34,24.63,22.31,19.22,15.91,15.43,19.31,23.07,23.5,27.07,27.01,21.99,21.05,19.35
13,4/5/2023,NSP.NWELOAD,Loadzone,MCC,-0.49,-1.11,-1.23,-1.15,-0.54,0.97,5.34,9.04,9.56,5.71,1.54,-1.51,-3.91,-8.71,-10.74,-12.28,-8.99,-3.35,-1.41,-0.75,1.36,1.47,0.72,0.18
14,4/5/2023,NSP.NWELOAD,Loadzone,MLC,0.4,-0.31,0.3,0.29,0.39,0.45,-0.24,0.27,-0.26,-0.28,-0.3,-0.32,-0.33,-0.36,-1.92,-1.68,-1.71,-1.83,-1.71,0.26,-0.36,-1.17,0.18,0.48
15,4/6/2023,NSP.NWELOAD,Loadzone,LMP,18.59,17.14,18.62,20.32,22.41,25.13,27.7,32.68,29.81,31.07,32.98,29.79,28.49,27.42,26.79,26.92,28.73,31.71,37.46,43.76,35.94,29.5,26.88,22.9
16,4/6/2023,NSP.NWELOAD,Loadzone,MCC,-0.16,-0.79,-0.54,0.27,1.06,-0.6,-1.16,1.0,1.34,1.72,0.84,-0.37,-0.28,-0.36,-0.69,-0.7,-0.61,0.04,0.24,0.77,0.4,0.16,0.52,0.89
17,4/6/2023,NSP.NWELOAD,Loadzone,MLC,0.34,0.33,0.87,0.91,0.04,0.15,-1.03,-0.19,-1.42,-1.48,1.09,0.92,0.83,-0.18,-0.66,-0.68,-0.76,-0.81,-0.1,-0.1,0.76,1.26,1.08,-1.2
18,4/7/2023,NSP.NWELOAD,Loadzone,LMP,21.78,22.23,22.11,22.85,24.69,28.3,34.68,35.06,34.32,33.41,32.99,27.96,25.07,23.72,21.97,20.56,22.43,22.93,24.89,25.29,22.73,17.1,15.14,12.92
