MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,source_zip
10/1/2022,EES.NINEMILE4,Gennode,LMP,45.19,42.57,40.77,40.8,42.56,43.6,50.13,49.77,53.02,54.13,54.13,54.95,53.08,54.13,57.16,61.88,65.25,67.9,69.39,58.11,52.46,48.88,44.18,41.29,2022_Oct-Dec_DA_LMPs.zip
10/2/2022,EES.NINEMILE4,Gennode,LMP,34.04,32.96,32.1,30.96,32.18,32.85,36.02,35.24,40.33,43.37,44.36,45.89,46.19,49.56,51.98,56.91,68.34,81.21,73.76,62.13,49.96,45.48,44.64,41.41,2022_Oct-Dec_DA_LMPs.zip
10/3/2022,EES.NINEMILE4,Gennode,LMP,40.64,37.65,37.36,38.27,41.74,50.66,58.73,54.2,53.93,58.26,60.86,63.57,61.43,61.69,66.86,67.55,69.21,74.48,76.57,66.29,55.51,52.14,47.92,45.47,2022_Oct-Dec_DA_LMPs.zip
10/4/2022,EES.NINEMILE4,Gennode,LMP,39.75,37.89,37.38,37.86,44.68,48.19,51.32,49.87,50.27,50.53,57.57,59.0,61.65,61.13,63.0,70.47,71.35,68.54,72.88,65.23,56.53,51.45,50.13,46.93,2022_Oct-Dec_DA_LMPs.zip
10/5/2022,EES.NINEMILE4,Gennode,LMP,44.76,42.76,41.33,42.58,43.36,47.36,48.4,48.17,47.13,46.55,49.35,53.44,60.26,66.91,71.67,71.77,72.16,75.18,79.65,68.37,56.67,49.72,43.53,40.74,2022_Oct-Dec_DA_LMPs.zip
10/6/2022,EES.NINEMILE4,Gennode,LMP,43.92,39.55,37.17,37.35,40.17,46.05,44.42,44.29,43.75,46.3,51.43,53.18,55.11,65.56,64.99,74.78,79.57,75.73,67.13,63.36,55.82,50.23,46.31,44.62,2022_Oct-Dec_DA_LMPs.zip
10/7/2022,EES.NINEMILE4,Gennode,LMP,40.13,39.43,38.69,40.45,44.88,53.13,55.19,54.8,54.56,63.11,66.75,67.7,69.85,74.43,74.9,100.13,98.57,84.44,93.45,85.0,70.78,63.97,57.32,55.08,2022_Oct-Dec_DA_LMPs.zip
10/8/2022,EES.NINEMILE4,Gennode,LMP,59.02,55.8,52.23,51.22,52.09,52.86,57.42,55.78,57.44,56.63,55.16,54.81,53.99,60.31,70.31,76.57,81.13,98.23,82.18,66.9,58.03,54.41,50.2,46.52,2022_Oct-Dec_DA_LMPs.zip
10/9/2022,EES.NINEMILE4,Gennode,LMP,46.75,44.88,43.09,44.02,45.13,48.6,52.48,52.38,54.24,55.53,55.98,55.5,54.01,56.85,56.96,61.95,64.4,79.13,95.16,71.07,63.51,56.1,54.65,53.04,2022_Oct-Dec_DA_LMPs.zip
10/10/2022,EES.NINEMILE4,Gennode,LMP,53.21,49.2,48.53,48.39,50.43,53.98,59.59,54.77,56.62,61.05,66.75,67.67,68.14,70.63,75.79,79.49,82.54,85.56,87.41,80.92,71.92,65.77,57.51,52.65,2022_Oct-Dec_DA_LMPs.zip
10/11/2022,EES.NINEMILE4,Gennode,LMP,49.91,45.96,44.6,44.95,49.76,53.43,57.64,56.49,54.16,55.55,58.16,64.04,71.06,76.85,81.39,82.15,84.3,84.84,87.66,78.09,68.11,58.98,53.53,52.9,2022_Oct-Dec_DA_LMPs.zip
10/12/2022,EES.NINEMILE4,Gennode,LMP,46.24,41.94,41.55,41.86,45.65,52.25,60.32,55.57,54.87,60.09,61.03,65.19,73.22,79.58,87.7,99.98,98.44,97.14,103.87,86.41,71.91,59.51,56.11,54.76,2022_Oct-Dec_DA_LMPs.zip
10/13/2022,EES.NINEMILE4,Gennode,LMP,53.33,50.22,47.83,46.43,50.97,55.26,60.54,57.59,56.84,60.56,61.04,64.7,70.79,75.47,81.23,99.7,95.57,87.06,91.44,82.1,66.57,62.78,59.12,56.84,2022_Oct-Dec_DA_LMPs.zip
10/14/2022,EES.NINEMILE4,Gennode,LMP,51.43,48.66,46.8,47.51,52.43,56.76,65.23,64.03,60.85,61.24,59.86,55.92,58.17,66.24,81.85,95.67,95.92,84.81,90.14,77.09,62.66,58.01,52.68,53.33,2022_Oct-Dec_DA_LMPs.zip
10/15/2022,EES.NINEMILE4,Gennode,LMP,46.86,44.63,43.52,41.83,42.35,45.1,48.2,50.1,52.3,53.59,57.08,54.7,61.0,75.1,88.22,106.73,98.57,95.44,93.79,70.36,62.43,53.73,50.52,49.4,2022_Oct-Dec_DA_LMPs.zip
