MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,source_zip
10/1/2022,NSP.PRISL1,Gennode,LMP,23.83,24.11,25.34,25.68,29.37,35.04,34.33,35.72,38.9,43.3,43.96,40.84,40.38,40.75,40.23,42.39,45.19,49.68,49.03,43.69,36.93,26.65,21.67,21.81,2022_Oct-Dec_DA_LMPs.zip
10/2/2022,NSP.PRISL1,Gennode,LMP,21.54,21.18,23.47,24.45,26.91,28.8,29.18,29.43,35.09,36.78,38.22,40.43,40.7,40.11,39.92,41.62,44.27,56.35,60.28,49.22,37.63,25.46,18.23,15.35,2022_Oct-Dec_DA_LMPs.zip
10/3/2022,NSP.PRISL1,Gennode,LMP,3.94,4.29,4.62,7.55,15.86,26.69,38.16,36.25,45.78,52.62,55.8,52.82,54.4,54.75,55.86,56.65,58.45,66.41,70.78,57.04,41.1,32.25,20.85,22.57,2022_Oct-Dec_DA_LMPs.zip
10/4/2022,NSP.PRISL1,Gennode,LMP,10.34,10.35,11.56,15.51,23.2,36.97,47.34,47.77,47.13,52.35,54.74,54.7,57.3,61.04,63.18,63.16,63.23,67.68,71.17,58.31,50.04,44.97,43.02,42.49,2022_Oct-Dec_DA_LMPs.zip
10/5/2022,NSP.PRISL1,Gennode,LMP,35.44,34.06,31.96,33.21,37.84,52.93,60.33,51.81,55.73,59.93,57.38,60.27,60.29,66.46,64.42,63.06,64.03,65.09,68.04,60.21,50.81,41.75,31.57,26.13,2022_Oct-Dec_DA_LMPs.zip
10/6/2022,NSP.PRISL1,Gennode,LMP,26.23,19.08,11.05,8.31,7.13,10.89,19.12,17.5,15.83,17.88,17.12,16.74,17.88,17.63,16.59,17.49,20.15,31.14,45.96,45.75,40.21,34.38,27.94,28.27,2022_Oct-Dec_DA_LMPs.zip
10/7/2022,NSP.PRISL1,Gennode,LMP,31.58,33.28,32.74,35.8,38.19,50.95,61.75,59.9,57.83,60.92,56.64,61.19,63.13,64.22,64.63,63.9,64.62,70.96,80.64,73.35,68.25,61.01,52.01,48.71,2022_Oct-Dec_DA_LMPs.zip
10/8/2022,NSP.PRISL1,Gennode,LMP,50.03,46.95,43.01,40.53,36.54,39.3,41.63,40.89,45.79,50.45,47.07,42.56,40.29,34.31,30.47,32.34,37.18,49.03,60.5,56.18,46.99,42.64,35.39,36.13,2022_Oct-Dec_DA_LMPs.zip
10/9/2022,NSP.PRISL1,Gennode,LMP,32.28,32.17,31.47,34.15,36.49,39.5,43.79,43.68,45.64,47.6,50.33,50.48,48.4,46.91,48.14,52.05,56.22,65.22,78.52,66.38,59.83,49.71,46.06,46.58,2022_Oct-Dec_DA_LMPs.zip
10/10/2022,NSP.PRISL1,Gennode,LMP,44.0,44.08,43.48,45.34,48.8,59.47,68.99,66.14,66.44,69.18,65.41,66.59,67.05,65.33,63.09,63.05,61.06,65.39,68.23,55.48,34.88,28.59,16.82,13.61,2022_Oct-Dec_DA_LMPs.zip
10/11/2022,NSP.PRISL1,Gennode,LMP,8.91,6.53,6.0,7.34,8.65,9.91,26.85,30.69,26.27,28.27,29.08,30.43,36.47,31.41,31.88,34.22,39.17,54.94,37.62,44.66,33.62,24.41,22.3,19.02,2022_Oct-Dec_DA_LMPs.zip
10/12/2022,NSP.PRISL1,Gennode,LMP,14.64,15.03,13.16,12.39,12.18,22.5,45.7,42.41,34.7,37.54,31.33,25.3,17.77,16.7,19.43,19.12,21.5,30.95,41.42,37.25,29.63,23.96,20.72,15.5,2022_Oct-Dec_DA_LMPs.zip
10/13/2022,NSP.PRISL1,Gennode,LMP,10.87,8.12,8.24,8.85,12.09,16.59,33.6,37.95,30.47,27.96,26.1,21.55,22.08,20.79,19.08,21.75,25.96,38.9,62.6,60.77,58.61,53.65,49.15,46.8,2022_Oct-Dec_DA_LMPs.zip
10/14/2022,NSP.PRISL1,Gennode,LMP,39.27,34.77,34.67,31.86,35.07,43.78,62.06,73.66,62.52,66.05,49.64,37.59,35.75,34.34,33.62,33.18,40.83,52.39,78.25,75.66,62.41,51.5,44.66,40.64,2022_Oct-Dec_DA_LMPs.zip
10/15/2022,NSP.PRISL1,Gennode,LMP,40.72,40.04,38.94,36.84,35.12,35.96,40.39,48.1,51.36,51.75,45.88,42.91,30.63,24.66,23.88,23.63,26.27,37.37,68.97,43.84,28.61,25.02,23.29,20.64,2022_Oct-Dec_DA_LMPs.zip
10/16/2022,NSP.PRISL1,Gennode,LMP,30.17,30.57,31.98,31.81,31.59,31.71,36.52,40.43,38.64,37.01,29.27,26.84,24.77,23.38,18.61,22.91,28.27,41.52,71.51,48.06,38.97,34.21,28.28,30.53,2022_Oct-Dec_DA_LMPs.zip
10/17/2022,NSP.PRISL1,Gennode,LMP,25.8,23.39,23.73,24.21,30.56,37.54,62.47,79.83,66.21,59.89,57.06,46.47,44.18,38.84,35.16,35.38,40.23,57.18,81.12,68.31,59.52,51.75,42.55,37.93,2022_Oct-Dec_DA_LMPs.zip
10/18/2022,NSP.PRISL1,Gennode,LMP,28.59,25.94,26.4,27.89,33.38,45.65,61.17,66.32,54.29,52.39,47.92,43.19,41.48,40.16,38.94,40.51,45.39,60.75,79.69,65.92,52.68,45.68,40.28,39.49,2022_Oct-Dec_DA_LMPs.zip
10/19/2022,NSP.PRISL1,Gennode,LMP,36.58,35.27,34.87,35.58,41.23,52.51,81.47,81.53,70.7,68.24,66.56,58.9,55.95,51.72,45.43,45.37,51.78,68.93,82.28,66.32,53.74,43.18,35.0,26.38,2022_Oct-Dec_DA_LMPs.zip
10/20/2022,NSP.PRISL1,Gennode,LMP,21.8,19.3,20.25,20.26,22.15,34.11,42.65,46.51,48.95,59.26,57.72,55.91,55.18,50.76,51.56,51.38,57.85,73.23,80.71,56.01,39.57,36.38,25.93,19.28,2022_Oct-Dec_DA_LMPs.zip
10/21/2022,NSP.PRISL1,Gennode,LMP,13.22,11.86,10.9,11.19,12.93,21.11,30.48,34.75,37.42,45.52,47.61,49.55,50.16,46.78,45.63,48.42,52.15,64.08,70.94,53.98,48.26,35.44,27.46,23.3,2022_Oct-Dec_DA_LMPs.zip
10/22/2022,NSP.PRISL1,Gennode,LMP,19.98,17.83,16.34,13.55,13.68,18.99,24.21,24.44,26.41,31.04,29.31,31.25,24.35,21.23,18.4,22.7,23.41,32.48,45.0,30.5,23.78,21.26,16.89,12.62,2022_Oct-Dec_DA_LMPs.zip
10/23/2022,NSP.PRISL1,Gennode,LMP,6.39,5.44,5.6,4.73,3.9,6.69,9.22,12.91,14.76,24.1,21.56,23.53,21.01,20.52,19.68,22.67,28.14,46.31,46.14,31.43,28.69,22.13,19.26,15.93,2022_Oct-Dec_DA_LMPs.zip
10/24/2022,NSP.PRISL1,Gennode,LMP,11.45,7.69,7.77,8.62,10.01,20.15,26.47,32.52,28.3,33.8,35.8,33.88,30.95,27.86,27.46,32.87,39.03,59.69,74.96,52.2,41.9,33.65,27.81,25.82,2022_Oct-Dec_DA_LMPs.zip
10/25/2022,NSP.PRISL1,Gennode,LMP,19.89,19.51,19.34,19.37,25.32,39.52,55.12,55.1,51.6,56.48,53.02,49.01,43.84,37.09,29.94,33.96,32.06,51.3,62.7,47.58,39.86,33.48,26.02,21.83,2022_Oct-Dec_DA_LMPs.zip
10/26/2022,NSP.PRISL1,Gennode,LMP,23.89,21.47,21.47,20.18,23.6,35.87,51.04,57.54,56.11,62.37,62.28,60.32,55.4,52.22,50.37,53.82,57.85,76.29,85.75,65.37,55.73,47.06,41.36,36.25,2022_Oct-Dec_DA_LMPs.zip
10/27/2022,NSP.PRISL1,Gennode,LMP,24.9,22.95,22.84,22.4,24.62,30.24,42.83,43.01,40.59,41.69,41.71,41.72,38.42,37.2,39.37,41.81,46.97,67.51,63.16,45.49,36.63,30.44,24.89,23.35,2022_Oct-Dec_DA_LMPs.zip
10/28/2022,NSP.PRISL1,Gennode,LMP,23.13,22.42,22.79,24.2,28.41,35.4,52.31,58.26,56.88,63.18,64.11,62.06,53.37,49.73,47.76,48.39,51.08,63.03,63.37,49.32,39.8,31.82,25.41,24.93,2022_Oct-Dec_DA_LMPs.zip
10/29/2022,NSP.PRISL1,Gennode,LMP,18.7,16.61,18.08,18.32,21.51,24.41,34.0,38.05,38.8,46.27,45.39,41.94,38.16,37.54,35.13,34.22,40.06,57.98,59.88,46.84,35.09,32.66,26.82,25.07,2022_Oct-Dec_DA_LMPs.zip
10/30/2022,NSP.PRISL1,Gennode,LMP,24.45,26.35,26.99,28.07,30.67,33.97,39.48,39.99,43.67,45.33,44.62,45.23,42.57,41.07,41.44,43.47,47.59,60.82,72.88,51.05,46.68,42.43,37.61,32.27,2022_Oct-Dec_DA_LMPs.zip
10/31/2022,NSP.PRISL1,Gennode,LMP,33.56,30.8,30.28,31.87,31.89,38.89,52.78,59.12,51.05,56.18,53.31,52.97,52.05,51.7,50.16,52.84,54.73,61.38,64.72,55.37,48.44,40.8,31.39,25.29,2022_Oct-Dec_DA_LMPs.zip
11/1/2022,NSP.PRISL1,Gennode,LMP,20.83,18.29,20.33,21.93,25.09,32.65,44.48,45.31,43.77,51.11,54.42,54.48,53.44,51.02,39.66,36.93,37.09,43.17,42.1,34.65,27.82,23.92,15.45,12.8,2022_Oct-Dec_DA_LMPs.zip
11/2/2022,NSP.PRISL1,Gennode,LMP,8.24,5.8,6.01,5.93,9.88,14.01,26.3,28.62,25.26,26.11,23.58,21.9,21.1,21.96,21.57,22.15,22.34,36.16,39.02,27.88,23.47,21.99,14.01,8.45,2022_Oct-Dec_DA_LMPs.zip
11/3/2022,NSP.PRISL1,Gennode,LMP,-1.86,-3.56,-3.26,-2.14,0.83,6.99,10.11,16.83,13.7,17.24,15.34,15.13,16.5,14.2,16.78,19.21,22.05,31.71,36.65,23.67,21.08,17.48,11.63,7.59,2022_Oct-Dec_DA_LMPs.zip
