MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,source_zip
10/1/2022,MEC.PPWIND,Gennode,LMP,9.71,13.26,15.14,14.94,19.21,24.82,32.11,32.04,36.17,40.6,42.15,41.41,40.47,40.83,40.26,42.31,44.91,49.48,45.4,33.91,27.3,14.53,6.43,8.16,2022_Oct-Dec_DA_LMPs.zip
10/2/2022,MEC.PPWIND,Gennode,LMP,12.02,14.21,16.73,19.69,22.44,24.7,29.12,27.8,34.27,34.41,35.02,38.71,38.97,40.42,40.15,42.2,45.1,55.93,53.41,34.35,22.22,8.85,3.57,2.29,2022_Oct-Dec_DA_LMPs.zip
10/3/2022,MEC.PPWIND,Gennode,LMP,-4.28,-4.08,-1.03,-0.58,4.48,14.14,22.3,27.3,38.77,46.0,48.64,52.6,53.3,51.09,53.35,54.87,56.83,62.94,63.04,48.32,30.69,16.35,7.53,12.59,2022_Oct-Dec_DA_LMPs.zip
10/4/2022,MEC.PPWIND,Gennode,LMP,11.56,12.13,14.47,17.08,23.48,31.06,41.31,40.68,42.43,50.65,55.74,56.78,59.17,59.33,59.76,64.98,64.1,63.7,66.79,58.16,51.04,44.61,42.33,40.88,2022_Oct-Dec_DA_LMPs.zip
10/5/2022,MEC.PPWIND,Gennode,LMP,31.74,31.09,31.89,32.15,37.7,51.89,60.45,52.06,56.01,60.24,59.04,62.11,62.53,64.75,66.28,66.28,66.46,70.17,75.25,63.96,50.44,43.01,33.77,29.77,2022_Oct-Dec_DA_LMPs.zip
10/6/2022,MEC.PPWIND,Gennode,LMP,28.75,24.03,16.12,7.95,2.27,-0.82,1.13,4.05,3.7,8.21,5.9,5.68,3.79,7.88,7.79,11.43,11.64,21.74,32.46,33.9,28.62,27.15,21.04,21.78,2022_Oct-Dec_DA_LMPs.zip
10/7/2022,MEC.PPWIND,Gennode,LMP,27.64,29.4,28.79,33.01,34.29,45.02,56.05,56.06,55.66,58.64,57.68,61.42,63.37,66.19,66.61,65.86,66.6,73.13,83.11,75.59,66.63,59.05,52.3,48.9,2022_Oct-Dec_DA_LMPs.zip
10/8/2022,MEC.PPWIND,Gennode,LMP,51.14,48.49,44.5,41.24,39.09,39.26,39.79,38.18,43.75,46.33,45.63,40.3,37.16,31.6,28.41,29.16,34.83,47.18,58.6,51.05,45.35,38.39,30.82,32.61,2022_Oct-Dec_DA_LMPs.zip
10/9/2022,MEC.PPWIND,Gennode,LMP,27.32,26.75,28.04,30.75,32.76,35.73,39.67,41.54,43.04,43.83,50.31,50.94,48.48,48.08,49.88,53.86,55.82,67.54,81.22,65.6,58.63,50.43,47.0,47.63,2022_Oct-Dec_DA_LMPs.zip
10/10/2022,MEC.PPWIND,Gennode,LMP,45.15,45.09,44.47,46.37,51.57,62.54,73.11,68.07,65.53,68.09,67.48,69.45,69.93,67.68,59.09,64.99,56.12,65.42,69.66,34.75,-17.96,-27.52,-27.77,-27.71,2022_Oct-Dec_DA_LMPs.zip
