,MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
0,10/1/2022,NSP.NWELOAD,Loadzone,LMP,17.69,13.95,22.03,33.19,39.61,42.65,48.1,42.69,42.07,51.38,50.96,49.17,44.73,45.01,48.88,53.17,47.95,50.86,52.23,46.37,38.11,35.04,22.29,24.85
1,10/1/2022,NSP.NWELOAD,Loadzone,MCC,-27.4,-18.15,-11.16,-3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.08,-0.99,-5.26,-3.04
2,10/1/2022,NSP.NWELOAD,Loadzone,MLC,-3.23,-2.38,-2.47,-2.81,-2.77,-2.41,-2.13,-1.35,-0.91,0.05,0.3,0.01,-0.67,-1.32,-1.83,-2.18,-1.92,-1.6,-1.42,-1.55,-1.53,-1.8,-1.85,-2.32
3,10/2/2022,NSP.NWELOAD,Loadzone,LMP,13.95,24.15,23.93,23.76,24.22,26.24,26.59,29.28,33.62,40.38,38.82,37.96,41.88,39.25,40.84,38.83,46.88,57.03,50.22,46.5,27.7,3.76,-3.77,-5.24
4,10/2/2022,NSP.NWELOAD,Loadzone,MCC,-3.78,-1.87,-1.33,-1.29,-0.85,-0.07,-0.11,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.27,0.0,-6.49,-24.97,-32.08,-37.31
5,10/2/2022,NSP.NWELOAD,Loadzone,MLC,-1.49,-2.04,-1.94,-1.75,-1.78,-1.76,-1.89,-1.64,-1.47,-0.99,-1.19,-1.64,-1.62,-1.8,-2.07,-2.06,-2.04,-1.59,-1.14,-1.61,-1.8,-1.58,-1.82,-2.37
6,10/3/2022,NSP.NWELOAD,Loadzone,LMP,-7.72,-9.24,-7.93,-3.8,-2.91,18.86,37.29,30.84,20.87,47.98,60.78,57.24,56.73,209.35,46.01,50.23,53.72,63.74,126.8,53.33,38.58,48.7,38.09,21.06
7,10/3/2022,NSP.NWELOAD,Loadzone,MCC,-36.94,-36.31,-35.07,-33.41,-34.7,-17.36,-7.37,-11.88,-23.37,-3.24,6.69,7.25,-1.52,0.02,0.0,-3.61,0.0,-3.2,-5.38,-2.26,-4.89,-1.86,-0.98,-14.55
8,10/3/2022,NSP.NWELOAD,Loadzone,MLC,-2.61,-2.34,-2.38,-2.63,-2.79,-2.95,-2.91,-2.32,-1.78,-1.52,-2.04,-2.16,-2.83,-9.27,-2.23,-2.41,-1.78,-0.47,0.3,-0.86,-1.79,-1.25,-1.39,-2.09
9,10/4/2022,NSP.NWELOAD,Loadzone,LMP,32.22,25.06,32.58,27.78,27.99,29.48,40.99,39.14,38.85,51.84,49.66,66.24,56.12,64.68,55.33,54.79,60.71,72.3,64.68,120.26,49.77,45.95,47.16,46.71
10,10/4/2022,NSP.NWELOAD,Loadzone,MCC,-5.87,-10.89,-0.06,-4.29,-9.24,-16.21,-17.58,-6.27,-0.95,7.47,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10/4/2022,NSP.NWELOAD,Loadzone,MLC,-2.13,-1.76,-1.61,-1.77,-2.13,-2.46,-2.08,-0.56,-0.46,-0.09,0.59,1.14,1.13,1.14,1.23,1.02,1.24,1.44,0.76,-0.24,-0.34,0.09,-0.12,-0.77
12,10/5/2022,NSP.NWELOAD,Loadzone,LMP,41.72,37.47,32.99,33.93,36.3,65.63,60.94,94.52,53.59,65.34,64.18,139.34,62.26,61.01,60.72,59.13,59.83,63.48,61.48,80.77,109.09,47.44,34.41,31.65
13,10/5/2022,NSP.NWELOAD,Loadzone,MCC,0.0,-0.05,-0.05,-1.88,-4.57,-4.7,-2.44,5.94,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.2,-0.23,-0.15,-0.23,-0.87,-2.05,-0.31,-9.57,-8.62
14,10/5/2022,NSP.NWELOAD,Loadzone,MLC,-1.58,-2.12,-1.91,-2.03,-2.33,-4.17,-2.49,-1.41,0.2,0.48,1.13,2.68,0.61,0.17,-1.0,-1.85,-1.81,-1.09,-0.19,-0.05,-0.37,-0.41,-1.11,-1.9
15,10/6/2022,NSP.NWELOAD,Loadzone,LMP,57.01,30.79,3.7,-7.41,-10.39,-0.69,38.98,33.54,14.04,14.98,15.19,20.03,25.04,17.17,16.57,17.12,18.83,29.88,53.82,95.2,49.3,45.73,48.94,51.52
16,10/6/2022,NSP.NWELOAD,Loadzone,MCC,-2.2,-7.68,-30.46,-41.42,-43.92,-37.87,-7.08,-15.85,-25.02,-34.0,-31.48,-26.01,-27.17,-30.38,-30.48,-28.32,-30.14,-21.96,-9.89,-2.89,-2.19,-1.7,-0.11,0.0
