MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
10/1/2022,EES.NINEMILE4,Gennode,LMP,60.83,40.59,39.74,40.94,43.85,46.33,51.21,44.95,44.07,51.98,51.1,50.89,47.71,49.44,54.44,58.58,52.77,55.43,55.8,49.87,42.46,42.85,42.81,38.67
10/2/2022,EES.NINEMILE4,Gennode,LMP,25.8,33.97,31.7,31.09,30.12,29.7,30.38,32.98,36.95,43.32,42.28,42.37,46.94,46.52,50.76,75.53,139.73,80.26,55.01,54.36,47.65,44.19,42.95,39.51
10/3/2022,EES.NINEMILE4,Gennode,LMP,36.57,32.47,32.4,35.45,36.52,41.04,48.44,45.88,48.97,53.04,56.04,52.47,61.41,220.63,50.25,59.79,58.23,69.49,132.7,56.97,47.97,54.44,44.91,42.48
10/4/2022,EES.NINEMILE4,Gennode,LMP,41.72,38.79,35.2,34.72,39.99,48.08,52.24,45.14,40.06,44.07,48.4,66.83,55.18,64.43,53.87,54.3,60.83,72.09,64.9,128.78,50.59,46.28,48.94,49.69
10/5/2022,EES.NINEMILE4,Gennode,LMP,44.91,40.61,35.49,38.33,44.21,45.69,34.84,43.81,47.02,45.76,51.75,54.49,51.24,55.89,64.32,65.43,66.64,68.97,64.51,89.07,113.03,47.49,45.61,42.77
10/6/2022,EES.NINEMILE4,Gennode,LMP,61.73,41.14,37.15,37.35,36.31,41.59,48.82,45.62,44.7,56.62,59.61,55.67,61.84,55.14,57.41,59.46,65.31,62.6,68.65,98.79,52.99,50.73,52.53,56.83
10/7/2022,EES.NINEMILE4,Gennode,LMP,47.67,41.45,43.08,41.19,42.69,49.45,54.9,52.84,49.72,50.68,61.02,63.21,64.57,65.08,69.4,68.58,64.53,66.27,113.93,67.64,60.99,64.29,61.55,60.97
10/8/2022,EES.NINEMILE4,Gennode,LMP,55.44,63.74,56.07,55.19,50.69,50.18,49.23,50.3,52.53,164.1,52.39,46.92,120.78,164.38,95.96,242.13,55.4,59.59,88.76,69,58.78,52.72,52.6,52.45
10/9/2022,EES.NINEMILE4,Gennode,LMP,50.72,49.83,47.17,46.59,49.49,49.01,44.02,43.83,40.38,50.62,50.26,49.72,46.21,46.74,47.97,53.3,91.15,83.08,455.96,61.58,54.56,54.52,52.51,53.31
10/10/2022,EES.NINEMILE4,Gennode,LMP,49,47.88,49.4,51.89,52.91,55.14,64.04,55.82,59.55,58.79,60.49,81.78,63.51,61.88,63.54,82.11,68.6,212.99,104.4,60.58,55.39,52.74,51.5,50.76
