MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
10/1/2022,NSP.PRISL1,Gennode,LMP,14.05,11.51,19.84,31.18,37.66,40.5,45.47,40.17,39.45,48.37,47.88,46.04,41.78,42.06,45.85,50.02,45.07,47.8,49.04,43.31,36.52,32.67,20.43,23.12
10/2/2022,NSP.PRISL1,Gennode,LMP,12.88,22.69,22.58,22.49,22.95,24.96,25.26,27.72,31.74,38.15,36.67,35.81,39.61,37.19,38.73,36.86,44.37,53.78,48.5,43.38,25.08,1.02, -6.6, -8.26
10/3/2022,NSP.PRISL1,Gennode,LMP, -10.55, -11.88, -10.52, -6.69, -6.16,16.02,32.61,25.33,10.65,35.02,49.28,46.72,52.43,196.07,43.23,47.22,50.56,59.81,119.06,49.62,35,44.96,35.63,17.86
10/4/2022,NSP.PRISL1,Gennode,LMP,29.64,22.18,30.77,25.79,25.39,25.98,35.57,34.38,36.23,41.82,46.55,62.62,52.98,60.99,52.08,51.58,57.09,68.03,60.75,112.68,46.41,43.09,44.59,44.35
10/5/2022,NSP.PRISL1,Gennode,LMP,39.64,35.79,31.64,32.71,34.75,65.46,65.5,90.65,50.77,62.15,61.06,132.52,59,57.75,57.6,56.62,57.35,60.56,58.9,78.59,107.94,45.69,40.63,37
10/6/2022,NSP.PRISL1,Gennode,LMP,56.39,35.57,27.57,25.42, -13.4, -3.95,32.68,28.15,10.11,10.48,11.2,14.25,20.43,10.4,9.48,11.83,13.82,25.11,49.1,87.95,45.4,42.25,45.63,48.32
10/7/2022,NSP.PRISL1,Gennode,LMP,41.51,36.48,38.58,36.66,38.03,44.55,77.31,50.16,47.48,48.85,58.7,59.08,60.21,59.78,62.85,60.6,58.65,60.44,106.79,63.45,56.76,60.54,57.64,57.47
10/8/2022,NSP.PRISL1,Gennode,LMP,50.47,57.96,50.51,49.04,44.05,40.33,42.76,43.89,45.75,149.11,47.68,39.49,35.71,15.22,14.67,28.92,25.53,43.11,79.49,64.19,53.6,46.63,37.95,38.53
10/9/2022,NSP.PRISL1,Gennode,LMP,41.25,39.47,35.31,34.41,33.27,34.54,37.93,34.1,35.64,47,48.28,46.6,35.77,32.32,29.96,39.76,49.64,76.17,434.44,59.82,50.57,49.7,47.8,48.14
10/10/2022,NSP.PRISL1,Gennode,LMP,44.04,43.7,45.74,66.75,110.41,53.81,76.12,68.19,60.45,63.44,70.04,83.39,59.18,56.03,52.23,44.88,45.55,167.57,73.18,28.67,17.76,42.39,22.19,8.5
10/11/2022,NSP.PRISL1,Gennode,LMP,3.96,5.21,3.32,2.02,16.18,5.46,31.92,21.99,21.55,11.88,16.97,13.16,10.01,7.12,10.87,86.83,12.88,18.82,37.23,38.75,19.11,18.85,14.77,7.82
10/12/2022,NSP.PRISL1,Gennode,LMP,4.04,15.64,24.75,7.94,26.66,15.8,44.63,95.66,55.94,57.27,38.73,12.8,12.64,23.46,28.46,25.54,31.55,46.73,174.8,116.98,60.22,16.26,17.8,10.18
