MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
10/1/2022,MEC.PPWIND,Gennode,LMP,21.37,17.56,22.91,31.33,36.5,39.35,43.81,38.37,37.84,46.7,46.35,43.83,39.88,40.35,44.43,48.91,44.05,46.74,48.06,41.5,26.21,30.87,18.47,21.15
10/2/2022,MEC.PPWIND,Gennode,LMP,11.11,21.37,21.32,21.26,21.89,24.57,24.95,27.68,31.98,38.58,37.17,36,39.77,37.57,39.07,36.95,43.97,52.69,47.13,40.94,25.95,9.96,2.44,1.35
10/3/2022,MEC.PPWIND,Gennode,LMP,0.81, -1.01, -0.14,1.31,3.85,15.82,29.18,13.3,16.78,40.77,48.32,44.57,51.39,188.21,41.42,48.27,47.89,59.5,118.27,48.45,33.04,40.65,31.69,19.47
10/4/2022,MEC.PPWIND,Gennode,LMP,27.73,11.53,28.3,20.85,17.01,12.86,19.94,25.94,33.02,40.58,45.83,61.58,51.94,58.96,49.74,49.24,54.57,65.65,59.43,109.99,45.46,42.85,44.65,44.1
10/5/2022,MEC.PPWIND,Gennode,LMP,38.71,35.19,32.06,35,39.91,64.11,61.97,86.26,52.08,64.51,63.58,137.91,61.52,59.99,59.66,58.33,58.5,61.87,60.54,80.03,108.18,46.3,42.87,38.98
10/6/2022,MEC.PPWIND,Gennode,LMP,57.62,37.05,32.19,31.6,10.42,9.85,16.06,15.93,6.78, -8.63, -11.19, -2.09,7.1,14.79,11.76,5.45,3.71,21.93,46.61,78.22,40.02,38.02,42.16,45.35
10/7/2022,MEC.PPWIND,Gennode,LMP,40.34,35.77,38.14,36.26,37.9,44.33,77.28,49.47,47.03,48.39,59.12,60.06,61.84,62.13,65.51,63.15,61.02,62.76,111.51,67.27,59.54,62.68,59.7,58.94
10/8/2022,MEC.PPWIND,Gennode,LMP,52.32,60.16,52.49,50.7,45.7,44.46,42.93,43.36,44.64,148.29,47.57,38.44,34.56,10.35,9.09,27.36,22.04,40.66,78.35,63.55,53.25,46.24,36.29,37.1
10/9/2022,MEC.PPWIND,Gennode,LMP,40.58,38.84,34.9,34.04,33.03,33.82,36.58,32.82,33.99,46.4,48.82,47.23,35.3,30.84,27.21,37.56,48.69,75.83,440.83,60.98,51.4,50.35,48.27,48.54
10/10/2022,MEC.PPWIND,Gennode,LMP,44.78,44.66,46.64,68.96,114.25,55.52,78.24,70.32,62.95,66.93,74.15,89.31,64.1,59.66,54.75,41.76,44.18,160.81,64.86,10.9, -27.72, -27.85, -27.95, -27.96
10/11/2022,MEC.PPWIND,Gennode,LMP, -27.92, -27.82, -27.9, -27.9, -26.14, -26.55, -24.23, -27.47, -27.49, -27.58, -27.61, -27.6, -27.62, -27.64,-28.06, -37.14, -27.83, -27.73, -27.63, -27.74, -26.16, -27.84, -27.89, -27.93
10/12/2022,MEC.PPWIND,Gennode,LMP, -27.13, -2,20.98, -18.26, -27.81, -9.93,25.09,23.99,35.53,26.14, -30.5, -28.34, -27.6, -27.43,-28.27, -28.32, -26.83, -27.75,30.35,98.8,58.08,5.78,9.8,0.71
10/13/2022,MEC.PPWIND,Gennode,LMP, -14.45, -21.13, -27.49, -29.13, -32.8, -27.06, -28.3, -28.61, -26.49, -28.18, -27.65, -27.75, -28.42, -26.01,-28.93, -29.52, -29.49, -28.62,152.14,70.49,96.11,62.96,55.18,58.37
10/14/2022,MEC.PPWIND,Gennode,LMP,36.52,13.79, -11.67, -15.73, -27.67, -23.21, -27.77, -14.2,8.77,23.06, -27.28, -27.68, -27.71, -27.92,-27.61, -28.36, -29.3, -27.66, -19.17,34.19,42.57,41.33,42.88,42.02
10/15/2022,MEC.PPWIND,Gennode,LMP,41.9,36.21,36.17,36.41,154.25,38.23, -27.57, -30.93, -28.56,3.27,0.67, -4.11, -20.63, -21.5,-32.38, -40.03, -31.58, -30.01,15.68,14.18,10.1, -2.44,22.1,28.49
10/16/2022,MEC.PPWIND,Gennode,LMP,28.07,27.37,29.24,31,38.23,32.82,34.4,35.39,34.81,65.95, -24.77, -29.14, -28.37, -29.24,-30.5, -28.73, -25.85, -28, -8.56,13.76, -6.74, -10.51, -18.09, -10.11
10/17/2022,MEC.PPWIND,Gennode,LMP, -6.71, -10.56, -19.7, -6.76,0.02, -20.43, -24.66, -27.49, -3.52, -27.56, -29.16, -28.2, -28.17, -28.16,-28.11, -28.14, -28.18, -28.27, -28.02, -27.92, -27.92, -27.93, -27.87, -27.81
10/18/2022,MEC.PPWIND,Gennode,LMP, -11.46,11.72,19.14, -16.1, -27.67, -27.63,2.5, -27.13, -19.04,46.66, -15.34, -2.7,40.85,40.56,30.57,35.72,38.56,161.24,120.11,45.58,87.11,43.79,39.13,37.2
10/19/2022,MEC.PPWIND,Gennode,LMP,61.85,42.92,59.42,56.54,62.54,152.1,130.45,52.25,51.11,74.4,66.25,52.61,103.18,47.82,75.68,45,63.2,246.19,438.92,74.76,85.57,24.22,32.96,12.09
10/20/2022,MEC.PPWIND,Gennode,LMP,20.51,30.04,15.13, -9.87,25.97,11.98, -24.79,20.8,42.39,48.48,52.75,334.82,51.59,52.73,48.69,49.58,96.38,255.83,48.59,58.15,161.58,34.09, -11.05, -23.16
10/21/2022,MEC.PPWIND,Gennode,LMP, -28.98, -28.89, -29.08, -27.88, -31, -29.01, -27.9, -4.09,9.69,38.85,42.69,46.41,44.44,44.87,42.94,38.36,87.26,109.05,67.82,59.2,78.68,26.67,10.78, -2.38
