Unnamed: 0,MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
1173,4/1/2023,AMIL.PSGC1.AMP,Gennode,LMP,17.52,15.73,15.18,14.93,15.84,17.48,17.99,18.34,17.73,18.25,19.72,22.14,21.61,22.64,22.73,23.74,24.9,25.88,28.39,32.49,29.32,24.36,22.23,27.46
3840,4/1/2023,EES.NINEMILE4,Gennode,LMP,18.04,15.03,14.6,14.5,15.14,16.17,18.89,19.64,21.04,22.27,22.81,22.77,24.02,27.75,29.97,29.09,28.98,27.46,25.41,24.93,24.19,23.17,22.14,21.95
3948,4/1/2023,EES.SAN_JC1_CT,Gennode,LMP,11.39,11.15,11.6,11.3,11.5,11.91,17.72,18.17,18.26,20.83,20.0,13.62,12.66,12.75,13.43,17.81,17.81,19.18,19.39,21.5,19.91,20.22,12.05,12.74
4971,4/1/2023,MEC.PPWIND,Gennode,LMP,-0.79,-0.69,-0.86,-1.0,-0.7,-0.15,4.58,7.05,10.47,12.23,13.59,14.86,16.37,17.66,19.72,20.15,21.38,23.91,24.69,30.93,28.31,23.1,17.42,12.34
6000,4/1/2023,NSP.NWELOAD,Loadzone,LMP,18.6,16.18,14.74,14.25,17.68,20.44,22.08,22.8,23.29,24.38,22.64,21.38,20.16,20.63,22.15,21.55,23.76,23.92,27.91,28.66,28.52,24.36,21.74,18.85
6021,4/1/2023,NSP.PRISL1,Gennode,LMP,19.53,17.03,15.25,14.65,18.08,20.88,22.01,22.99,23.22,23.79,21.69,19.74,18.01,18.33,19.96,19.39,21.6,21.89,25.06,26.38,26.28,22.58,19.76,17.13
8319,4/2/2023,AMIL.PSGC1.AMP,Gennode,LMP,19.14,17.14,17.81,17.57,17.69,17.52,17.37,17.0,17.87,18.06,19.67,18.49,17.22,17.13,16.95,17.73,17.78,17.17,18.66,19.92,19.42,18.88,20.11,19.42
10986,4/2/2023,EES.NINEMILE4,Gennode,LMP,20.74,20.19,19.09,18.32,17.81,18.47,20.4,20.96,21.84,21.94,21.64,22.39,22.18,22.97,23.26,23.24,24.1,24.1,24.47,25.05,24.45,23.34,21.67,21.24
11094,4/2/2023,EES.SAN_JC1_CT,Gennode,LMP,12.18,11.89,11.97,11.75,11.58,12.34,12.83,13.09,13.23,13.21,12.91,12.94,12.01,9.67,7.33,6.84,6.45,5.78,8.43,11.01,11.76,12.12,11.43,11.36
12117,4/2/2023,MEC.PPWIND,Gennode,LMP,4.88,-0.78,-3.4,-4.45,-4.72,-3.94,-3.67,-4.91,-3.82,-4.02,-3.66,-3.82,-3.09,-3.0,-1.14,-0.38,1.62,7.95,14.06,18.57,17.8,15.73,13.29,12.75
13146,4/2/2023,NSP.NWELOAD,Loadzone,LMP,18.69,17.29,16.79,17.23,18.97,18.6,16.79,17.6,17.37,17.73,16.88,16.1,15.3,13.39,14.19,15.01,17.49,20.34,25.87,27.81,26.12,22.59,21.94,20.46
13167,4/2/2023,NSP.PRISL1,Gennode,LMP,12.37,9.76,8.2,8.76,10.5,11.46,8.95,9.32,9.26,9.68,8.17,7.54,6.85,5.55,7.12,8.46,10.88,13.42,20.46,23.95,22.2,19.14,17.9,16.71
15465,4/3/2023,AMIL.PSGC1.AMP,Gennode,LMP,17.26,17.09,16.81,16.12,16.93,17.13,22.3,23.62,24.86,27.22,26.75,23.91,23.26,21.62,20.46,20.15,18.48,19.33,20.19,21.04,20.03,19.21,18.14,16.17
18132,4/3/2023,EES.NINEMILE4,Gennode,LMP,19.57,18.93,18.75,18.34,18.64,21.43,24.54,25.65,25.88,27.07,29.31,27.77,26.26,34.04,36.15,41.63,40.92,37.66,35.22,30.48,28.41,24.06,21.98,20.95
18240,4/3/2023,EES.SAN_JC1_CT,Gennode,LMP,12.9,12.88,13.04,12.96,12.46,13.22,20.84,22.38,22.13,23.7,28.31,27.22,22.39,20.16,19.45,28.4,26.14,27.12,20.27,20.46,19.09,18.98,15.34,12.51
19263,4/3/2023,MEC.PPWIND,Gennode,LMP,13.57,12.84,14.39,15.09,15.53,20.06,27.82,29.41,27.9,29.41,27.86,27.16,28.06,27.1,24.93,22.21,21.38,22.08,20.55,22.84,19.99,13.9,10.96,5.05
20292,4/3/2023,NSP.NWELOAD,Loadzone,LMP,18.09,17.71,18.43,19.57,20.83,24.32,34.14,37.4,35.88,37.19,35.29,33.06,30.86,30.43,28.27,27.4,26.82,27.95,29.51,32.17,28.73,26.04,25.56,21.98
20313,4/3/2023,NSP.PRISL1,Gennode,LMP,15.95,15.36,16.57,17.4,18.13,21.82,30.24,33.42,31.88,33.19,31.44,29.52,28.34,27.7,25.67,24.39,23.83,24.68,25.36,27.65,24.44,20.11,18.75,15.84
22611,4/4/2023,AMIL.PSGC1.AMP,Gennode,LMP,16.2,15.01,14.55,13.98,15.65,14.69,16.28,18.15,16.92,17.49,19.71,20.93,22.4,21.01,21.95,24.61,24.71,25.98,26.19,24.52,21.51,19.71,17.0,16.94
25278,4/4/2023,EES.NINEMILE4,Gennode,LMP,17.67,16.3,15.54,15.58,17.07,22.13,26.84,25.59,25.76,24.67,26.34,30.77,35.85,42.73,49.73,54.24,54.49,46.5,44.71,43.74,35.84,28.49,20.33,19.11
25386,4/4/2023,EES.SAN_JC1_CT,Gennode,LMP,16.9,15.75,15.02,15.0,16.13,20.41,24.91,24.27,23.26,26.25,28.81,28.97,29.84,28.94,31.28,36.27,40.48,38.7,39.86,39.7,33.24,25.65,21.29,18.93
26409,4/4/2023,MEC.PPWIND,Gennode,LMP,1.83,-1.99,-3.66,-6.11,-8.57,-7.05,-4.31,-0.79,-2.95,-2.28,-4.23,-4.13,-1.18,-2.28,-4.54,-6.78,-0.43,0.72,1.05,-1.98,-2.48,-5.06,-7.63,-1.95
27438,4/4/2023,NSP.NWELOAD,Loadzone,LMP,20.62,19.05,19.22,20.25,24.37,27.94,34.35,33.71,29.36,24.21,24.44,23.56,21.85,20.75,20.54,20.26,20.45,20.63,21.88,22.85,21.46,19.92,16.21,14.79
27459,4/4/2023,NSP.PRISL1,Gennode,LMP,13.9,11.86,12.27,13.51,17.75,20.87,27.85,26.78,23.98,18.71,19.88,19.89,18.12,17.2,16.98,16.77,16.91,16.58,18.31,19.24,17.67,16.68,13.31,11.91
29757,4/5/2023,AMIL.PSGC1.AMP,Gennode,LMP,18.57,18.17,17.84,17.61,18.79,20.15,22.9,23.26,21.9,22.1,23.17,22.86,23.64,22.29,21.22,21.78,21.86,22.41,23.01,26.8,26.0,21.36,17.4,16.51
32424,4/5/2023,EES.NINEMILE4,Gennode,LMP,17.83,16.84,16.64,15.42,16.94,18.88,24.24,22.59,24.63,25.66,28.43,34.3,35.47,48.0,55.76,56.1,53.63,46.64,34.33,30.11,29.81,24.97,20.48,19.6
32532,4/5/2023,EES.SAN_JC1_CT,Gennode,LMP,8.61,9.64,8.02,10.36,9.44,15.05,26.01,25.44,29.51,30.35,28.82,36.2,40.36,41.95,41.34,43.85,39.34,35.06,33.24,33.11,30.52,23.87,16.67,16.45
33555,4/5/2023,MEC.PPWIND,Gennode,LMP,1.79,1.42,1.83,-0.58,-4.34,-8.2,-6.84,-7.0,-8.0,-7.77,-7.0,-5.62,-5.88,-7.61,-8.86,-10.64,-12.19,-10.92,-9.48,-7.95,-7.69,-8.32,-6.8,-6.59
34584,4/5/2023,NSP.NWELOAD,Loadzone,LMP,17.5,15.17,15.61,15.49,17.34,22.12,29.98,34.01,33.98,30.33,27.34,24.63,22.31,19.22,15.91,15.43,19.31,23.07,23.5,27.07,27.01,21.99,21.05,19.35
34605,4/5/2023,NSP.PRISL1,Gennode,LMP,13.43,11.14,11.4,10.33,10.89,14.37,20.6,25.92,25.71,22.74,21.35,19.85,17.22,14.08,11.24,10.13,15.36,19.75,20.77,22.99,22.86,17.61,16.26,14.43
36903,4/6/2023,AMIL.PSGC1.AMP,Gennode,LMP,13.88,13.5,14.48,14.71,15.99,16.87,22.71,26.35,25.16,25.22,25.43,22.19,21.61,22.25,22.24,23.27,25.25,26.29,31.47,36.81,29.1,20.49,17.68,16.11
39570,4/6/2023,EES.NINEMILE4,Gennode,LMP,19.07,18.44,18.49,18.31,19.13,20.51,30.02,32.74,30.68,31.66,30.64,28.61,27.52,29.46,30.89,31.25,31.81,34.32,39.27,45.59,34.97,28.09,22.83,21.51
39678,4/6/2023,EES.SAN_JC1_CT,Gennode,LMP,18.81,18.2,18.37,18.15,17.98,18.8,28.4,30.79,29.35,30.29,30.16,28.62,27.64,27.87,29.11,29.35,29.93,32.2,36.57,41.99,34.5,27.67,23.98,19.54
40701,4/6/2023,MEC.PPWIND,Gennode,LMP,4.08,3.39,6.1,7.08,12.27,17.64,21.09,26.25,24.68,25.93,27.81,26.3,25.39,26.71,26.26,26.43,29.12,32.38,38.01,44.87,35.48,27.06,23.7,20.24
41730,4/6/2023,NSP.NWELOAD,Loadzone,LMP,18.59,17.14,18.62,20.32,22.41,25.13,27.7,32.68,29.81,31.07,32.98,29.79,28.49,27.42,26.79,26.92,28.73,31.71,37.46,43.76,35.94,29.5,26.88,22.9
41751,4/6/2023,NSP.PRISL1,Gennode,LMP,15.3,13.87,15.43,17.3,19.17,21.37,24.68,29.54,26.89,27.58,29.67,27.44,26.28,25.37,24.81,24.93,26.98,29.85,35.22,41.31,33.85,27.45,24.77,20.79
44049,4/7/2023,AMIL.PSGC1.AMP,Gennode,LMP,16.75,16.69,16.69,17.49,19.22,21.56,28.04,30.46,29.44,27.63,25.48,21.78,19.89,18.9,18.03,17.76,17.22,17.01,17.78,19.24,18.95,16.28,14.6,13.69
46716,4/7/2023,EES.NINEMILE4,Gennode,LMP,20.32,18.44,17.85,17.07,17.35,19.87,22.82,26.18,24.34,30.71,29.92,27.35,25.06,24.69,24.22,25.07,24.99,24.33,24.29,26.51,25.89,23.4,21.56,19.78
