Unnamed: 0,MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
3789,10/1/2022,EES.NINEMILE4,Gennode,LMP,60.83,40.59,39.74,40.94,43.85,46.33,51.21,44.95,44.07,51.98,51.1,50.89,47.71,49.44,54.44,58.58,52.77,55.43,55.8,49.87,42.46,42.85,42.81,38.67
4899,10/1/2022,MEC.PPWIND,Gennode,LMP,21.37,17.56,22.91,31.33,36.5,39.35,43.81,38.37,37.84,46.7,46.35,43.83,39.88,40.35,44.43,48.91,44.05,46.74,48.06,41.5,26.21,30.87,18.47,21.15
5925,10/1/2022,NSP.NWELOAD,Loadzone,LMP,17.69,13.95,22.03,33.19,39.61,42.65,48.1,42.69,42.07,51.38,50.96,49.17,44.73,45.01,48.88,53.17,47.95,50.86,52.23,46.37,38.11,35.04,22.29,24.85
5946,10/1/2022,NSP.PRISL1,Gennode,LMP,14.05,11.51,19.84,31.18,37.66,40.5,45.47,40.17,39.45,48.37,47.88,46.04,41.78,42.06,45.85,50.02,45.07,47.8,49.04,43.31,36.52,32.67,20.43,23.12
10857,10/2/2022,EES.NINEMILE4,Gennode,LMP,25.8,33.97,31.7,31.09,30.12,29.7,30.38,32.98,36.95,43.32,42.28,42.37,46.94,46.52,50.76,75.53,139.73,80.26,55.01,54.36,47.65,44.19,42.95,39.51
11967,10/2/2022,MEC.PPWIND,Gennode,LMP,11.11,21.37,21.32,21.26,21.89,24.57,24.95,27.68,31.98,38.58,37.17,36.0,39.77,37.57,39.07,36.95,43.97,52.69,47.13,40.94,25.95,9.96,2.44,1.35
12993,10/2/2022,NSP.NWELOAD,Loadzone,LMP,13.95,24.15,23.93,23.76,24.22,26.24,26.59,29.28,33.62,40.38,38.82,37.96,41.88,39.25,40.84,38.83,46.88,57.03,50.22,46.5,27.7,3.76,-3.77,-5.24
13014,10/2/2022,NSP.PRISL1,Gennode,LMP,12.88,22.69,22.58,22.49,22.95,24.96,25.26,27.72,31.74,38.15,36.67,35.81,39.61,37.19,38.73,36.86,44.37,53.78,48.5,43.38,25.08,1.02,-6.6,-8.26
17925,10/3/2022,EES.NINEMILE4,Gennode,LMP,36.57,32.47,32.4,35.45,36.52,41.04,48.44,45.88,48.97,53.04,56.04,52.47,61.41,220.63,50.25,59.79,58.23,69.49,132.7,56.97,47.97,54.44,44.91,42.48
19035,10/3/2022,MEC.PPWIND,Gennode,LMP,0.81,-1.01,-0.14,1.31,3.85,15.82,29.18,13.3,16.78,40.77,48.32,44.57,51.39,188.21,41.42,48.27,47.89,59.5,118.27,48.45,33.04,40.65,31.69,19.47
20061,10/3/2022,NSP.NWELOAD,Loadzone,LMP,-7.72,-9.24,-7.93,-3.8,-2.91,18.86,37.29,30.84,20.87,47.98,60.78,57.24,56.73,209.35,46.01,50.23,53.72,63.74,126.8,53.33,38.58,48.7,38.09,21.06
20082,10/3/2022,NSP.PRISL1,Gennode,LMP,-10.55,-11.88,-10.52,-6.69,-6.16,16.02,32.61,25.33,10.65,35.02,49.28,46.72,52.43,196.07,43.23,47.22,50.56,59.81,119.06,49.62,35.0,44.96,35.63,17.86
24993,10/4/2022,EES.NINEMILE4,Gennode,LMP,41.72,38.79,35.2,34.72,39.99,48.08,52.24,45.14,40.06,44.07,48.4,66.83,55.18,64.43,53.87,54.3,60.83,72.09,64.9,128.78,50.59,46.28,48.94,49.69
26103,10/4/2022,MEC.PPWIND,Gennode,LMP,27.73,11.53,28.3,20.85,17.01,12.86,19.94,25.94,33.02,40.58,45.83,61.58,51.94,58.96,49.74,49.24,54.57,65.65,59.43,109.99,45.46,42.85,44.65,44.1
27129,10/4/2022,NSP.NWELOAD,Loadzone,LMP,32.22,25.06,32.58,27.78,27.99,29.48,40.99,39.14,38.85,51.84,49.66,66.24,56.12,64.68,55.33,54.79,60.71,72.3,64.68,120.26,49.77,45.95,47.16,46.71
27150,10/4/2022,NSP.PRISL1,Gennode,LMP,29.64,22.18,30.77,25.79,25.39,25.98,35.57,34.38,36.23,41.82,46.55,62.62,52.98,60.99,52.08,51.58,57.09,68.03,60.75,112.68,46.41,43.09,44.59,44.35
32061,10/5/2022,EES.NINEMILE4,Gennode,LMP,44.91,40.61,35.49,38.33,44.21,45.69,34.84,43.81,47.02,45.76,51.75,54.49,51.24,55.89,64.32,65.43,66.64,68.97,64.51,89.07,113.03,47.49,45.61,42.77
33171,10/5/2022,MEC.PPWIND,Gennode,LMP,38.71,35.19,32.06,35.0,39.91,64.11,61.97,86.26,52.08,64.51,63.58,137.91,61.52,59.99,59.66,58.33,58.5,61.87,60.54,80.03,108.18,46.3,42.87,38.98
34197,10/5/2022,NSP.NWELOAD,Loadzone,LMP,41.72,37.47,32.99,33.93,36.3,65.63,60.94,94.52,53.59,65.34,64.18,139.34,62.26,61.01,60.72,59.13,59.83,63.48,61.48,80.77,109.09,47.44,34.41,31.65
34218,10/5/2022,NSP.PRISL1,Gennode,LMP,39.64,35.79,31.64,32.71,34.75,65.46,65.5,90.65,50.77,62.15,61.06,132.52,59.0,57.75,57.6,56.62,57.35,60.56,58.9,78.59,107.94,45.69,40.63,37.0
39129,10/6/2022,EES.NINEMILE4,Gennode,LMP,61.73,41.14,37.15,37.35,36.31,41.59,48.82,45.62,44.7,56.62,59.61,55.67,61.84,55.14,57.41,59.46,65.31,62.6,68.65,98.79,52.99,50.73,52.53,56.83
40239,10/6/2022,MEC.PPWIND,Gennode,LMP,57.62,37.05,32.19,31.6,10.42,9.85,16.06,15.93,6.78,-8.63,-11.19,-2.09,7.1,14.79,11.76,5.45,3.71,21.93,46.61,78.22,40.02,38.02,42.16,45.35
41265,10/6/2022,NSP.NWELOAD,Loadzone,LMP,57.01,30.79,3.7,-7.41,-10.39,-0.69,38.98,33.54,14.04,14.98,15.19,20.03,25.04,17.17,16.57,17.12,18.83,29.88,53.82,95.2,49.3,45.73,48.94,51.52
41286,10/6/2022,NSP.PRISL1,Gennode,LMP,56.39,35.57,27.57,25.42,-13.4,-3.95,32.68,28.15,10.11,10.48,11.2,14.25,20.43,10.4,9.48,11.83,13.82,25.11,49.1,87.95,45.4,42.25,45.63,48.32
46197,10/7/2022,EES.NINEMILE4,Gennode,LMP,47.67,41.45,43.08,41.19,42.69,49.45,54.9,52.84,49.72,50.68,61.02,63.21,64.57,65.08,69.4,68.58,64.53,66.27,113.93,67.64,60.99,64.29,61.55,60.97
47307,10/7/2022,MEC.PPWIND,Gennode,LMP,40.34,35.77,38.14,36.26,37.9,44.33,77.28,49.47,47.03,48.39,59.12,60.06,61.84,62.13,65.51,63.15,61.02,62.76,111.51,67.27,59.54,62.68,59.7,58.94
48333,10/7/2022,NSP.NWELOAD,Loadzone,LMP,43.94,38.43,40.5,38.51,40.05,47.13,78.33,53.45,50.48,51.82,62.1,62.33,62.66,62.27,65.86,63.43,61.32,63.28,111.9,66.55,59.6,63.49,59.76,58.93
